"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
MARSHALL WACE LLP,ERAMET,FR0000131757,1.00,2019-11-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.74,2023-04-17
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.57,2023-05-05
CITADEL GP LLC,TOTAL S.A.,FR0000120271,1.73,2018-07-03
"TIG ADVISORS, LLC",PEUGEOT S.A.,FR0000121501,0.67,2020-08-12
MARSHALL WACE LLP,ERAMET,FR0000131757,0.59,2020-08-11
MAGNETAR FINANCIAL LLC,WORLDLINE,FR0011981968,0.00,2020-10-22
AKO CAPITAL LLP,EIFFAGE,FR0000130452,0.80,2023-09-26
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.99,2019-10-09
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.18,2021-03-19
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.28,2023-11-07
"AQR CAPITAL MANAGEMENT, LLC",IMERYS,FR0000120859,0.49,2020-11-30
"WESTCHESTER CAPITAL MANAGEMENT,
LLC",WORLDLINE,FR0011981968,0.00,2020-10-29
"KITE LAKE CAPITAL MANAGEMENT (UK)
LLP",PEUGEOT S.A.,FR0000121501,0.40,2021-01-07
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.56,2022-11-07
MARSHALL WACE LLP,ERAMET,FR0000131757,1.31,2020-01-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.55,2023-07-31
IMMERSION CAPITAL MASTER FUND LTD,ELIOR GROUP,FR0011950732,0.03,2020-03-26
AKO CAPITAL LLP,EIFFAGE,FR0000130452,0.62,2023-09-20
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.58,2021-11-23
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.38,2019-08-21
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.27,2023-11-13
MARSHALL WACE LLP,ALSTOM,FR0010220475,0.72,2023-11-22
"BRIDGEWATER ASSOCIATES, LP",VIVENDI,FR0000127771,0.49,2020-03-20
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUROAPI,FR0014008VX5,0.90,2023-08-01
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.51,2015-09-02
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.60,2023-03-03
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.64,2023-10-04
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,0.87,2023-08-31
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.40,2020-07-31
SQUAREPOINT OPS LLC,DBV TECHNOLOGIES,FR0010417345,0.49,2020-11-05
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,0.90,2023-09-04
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.71,2021-08-03
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.72,2023-11-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.24,2022-05-17
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.03,2023-02-16
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.49,2023-09-05
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.89,2023-10-11
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.67,2023-06-01
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.76,2023-10-16
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.59,2023-03-29
LANSDOWNE PARTNERS (UK) LLP,SODEXO,FR0000121220,0.44,2020-04-16
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.72,2022-07-07
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.52,2018-09-20
WORLDQUANT LLC,DBV TECHNOLOGIES,FR0010417345,0.34,2020-11-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.11,2023-11-14
"ARROWSTREET CAPITAL, LIMITED
PARTNERSHIP",GENFIT,FR0004163111,0.71,2023-11-09
"BLACKROCK INSTITUTIONAL TRUST
COMPANY NATIONAL ASSOCIATION",AIR FRANCE-KLM,FR0000031122,0.49,2020-03-23
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.15,2023-10-10
"AQR CAPITAL MANAGEMENT, LLC",GETLINK SE,FR0010533075,0.49,2020-11-24
OXFORD ASSET MANAGEMENT LLP,BOLLORE,FR0000039299,1.10,2014-12-01
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.28,2023-09-26
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.70,2019-11-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.39,2023-11-02
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.70,2022-03-14
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.42,2015-08-28
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.74,2021-06-15
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.45,2023-04-17
VOLEON CAPITAL MANAGEMENT LP,ADOCIA,FR0011184241,0.60,2023-11-23
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.80,2021-02-15
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.06,2021-03-23
"LUMINUS MANAGEMENT, LLC",VALLOUREC,FR0013506730,0.47,2020-06-24
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.31,2023-11-28
"CANADA PENSION PLAN INVESTMENT
BOARD",SOITEC,FR0013227113,0.76,2023-01-27
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.10,2023-03-31
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.11,2019-10-18
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.98,2018-07-09
LMR PARTNERS LLP,GAZTRANSPORT ET TECHNIGAZ,FR0011726835,0.61,2022-04-07
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.50,2022-11-01
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.69,2023-09-28
SYSTEMATICA INVESTMENTS LIMITED,CASINO GUICHARD-PERRACHON,FR0000125585,0.49,2020-08-17
D1 CAPITAL PARTNERS LP,KLEPIERRE,FR0000121964,0.40,2020-12-10
BG Master Fund ICAV,ORPEA,FR0000184798,0.67,2023-09-04
CAPITAL FUND MANAGEMENT SA,CGG,FR0013181864,0.50,2021-06-14
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.82,2023-11-28
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.99,2020-01-30
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.11,2022-03-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.96,2022-10-14
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.51,2023-09-27
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.43,2022-09-29
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.83,2023-06-26
"ENNISMORE FUND MANAGEMENT
LIMITED",BOOSTHEAT,FR0011814938,0.49,2020-05-13
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.90,2023-11-15
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.94,2023-06-16
CITADEL ADVISORS LLC,INNATE PHARMA,FR0010331421,0.47,2020-12-17
MARSHALL WACE LLP,ERAMET,FR0000131757,1.29,2020-01-23
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.76,2023-03-01
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.31,2022-04-01
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.19,2023-11-09
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.62,2023-07-11
VOLEON CAPITAL MANAGEMENT LP,GENSIGHT BIOLOGICS S.A.,FR0013183985,0.51,2021-11-17
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",SOCIETE BIC,FR0000120966,0.49,2021-01-22
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.19,2023-03-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.21,2023-05-05
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.70,2023-07-07
MARSHALL WACE LLP,LAGARDERE SCA,FR0000130213,0.70,2020-09-16
"SCGE FUND, L.P.",KLEPIERRE,FR0000121964,0.49,2020-11-26
VOLEON CAPITAL MANAGEMENT LP,ADOCIA,FR0011184241,0.52,2023-11-17
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NACON,FR0013482791,1.47,2021-06-17
CITADEL ADVISORS LLC,CASINO GUICHARD-PERRACHON,FR0000125585,0.70,2022-07-26
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.16,2023-09-11
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.60,2023-05-05
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.73,2022-08-18
AKO CAPITAL LLP,EIFFAGE,FR0000130452,1.11,2023-10-16
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.52,2023-02-28
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.81,2022-12-02
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.22,2023-09-14
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,2.95,2023-10-25
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.88,2019-10-18
MARSHALL WACE ASIA LIMITED,ALSTOM,FR0010220475,0.50,2023-01-03
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",SPIE SA,FR0012757854,0.43,2020-03-26
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.89,2018-09-14
MARSHALL WACE LLP,RENAULT,FR0000131906,1.19,2023-02-16
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.09,2019-12-19
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,1.11,2023-06-29
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.72,2021-12-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.60,2023-01-16
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,2.03,2023-11-13
MARSHALL WACE LLP,CGG,FR0013181864,2.05,2023-11-14
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.79,2022-10-28
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.60,2023-03-21
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.50,2023-02-07
POINT72 EUROPE (LONDON) LLP,ARKEMA,FR0010313833,0.45,2020-09-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.70,2023-02-14
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.35,2023-10-16
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.64,2023-06-08
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.19,2022-01-17
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.78,2023-09-06
"ARROWSTREET CAPITAL, LIMITED
PARTNERSHIP",GENFIT,FR0004163111,0.50,2023-10-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.89,2023-01-10
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,0.97,2023-10-11
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.00,2018-06-14
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.50,2023-10-25
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.81,2022-04-12
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.55,2022-07-05
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.50,2023-05-31
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.43,2023-09-13
CAPITAL FUND MANAGEMENT SA,TECHNICOLOR,FR0010918292,0.49,2020-03-04
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.60,2022-11-02
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,0.70,2023-01-10
MARSHALL WACE LLP,RENAULT,FR0000131906,1.65,2022-10-11
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.95,2021-04-13
SYSTEMATICA INVESTMENTS LIMITED,VALLOUREC,FR0013506730,0.71,2023-06-12
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.18,2022-05-17
"BLACKROCK INSTITUTIONAL TRUST
COMPANY NATIONAL ASSOCIATION",MAISONS DU MONDE,FR0013153541,0.18,2020-04-01
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.58,2022-08-18
SFM UK MANAGEMENT LLP,SOCIETE BIC,FR0000120966,0.49,2020-10-30
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,3.30,2023-01-24
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.58,2023-01-05
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.70,2023-10-02
AHL PARTNERS LLP,AIR FRANCE-KLM,FR0000031122,0.45,2020-06-09
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.60,2022-11-16
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.78,2023-08-22
HELIKON INVESTMENTS LIMITED,EUROPCAR MOBILITY GROUP,FR0012789949,0.00,2021-02-26
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.62,2022-10-18
MARSHALL WACE LLP,RENAULT,FR0000131906,0.78,2023-10-25
CITADEL ADVISORS LLC,AIR FRANCE-KLM,FR0000031122,0.52,2020-08-27
CAPITAL FUND MANAGEMENT SA,EUROPCAR MOBILITY GROUP,FR0012789949,0.43,2020-04-16
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.73,2018-01-17
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.80,2022-10-07
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.45,2022-12-14
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.45,2020-03-10
GSA CAPITAL PARTNERS L.L.P.,AMOEBA,FR0011051598,0.44,2020-12-11
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.17,2023-11-30
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.59,2023-09-04
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.65,2023-11-02
"BRIDGEWATER ASSOCIATES, LP",SOCIETE GENERALE,FR0000130809,0.43,2020-03-24
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.97,2023-03-09
MARSHALL WACE LLP,RENAULT,FR0000131906,0.82,2023-11-08
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,1.41,2021-03-22
HRTEU LIMITED,CYBERGUN,FR0013505583,0.12,2020-10-23
"AQR CAPITAL MANAGEMENT, LLC",ILIAD,FR0004035913,0.49,2020-06-24
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.28,2022-12-16
"P. SCHOENFELD ASSET MANAGEMENT
LP",PEUGEOT S.A.,FR0000121501,0.46,2020-10-12
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.15,2022-05-13
MARSHALL WACE LLP,RENAULT,FR0000131906,0.80,2022-04-01
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.62,2023-03-09
MARSHALL WACE LLP,RENAULT,FR0000131906,1.54,2022-10-21
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NACON,FR0013482791,1.48,2021-03-19
CAPITAL FUND MANAGEMENT,ELIOR GROUP,FR0011950732,0.50,2022-09-19
MILLENNIUM CAPITAL PARTNERS LLP,CLARIANE SE,FR0010386334,1.05,2023-11-27
MARSHALL WACE LLP,EDENRED,FR0010908533,0.38,2023-11-07
"SAND GROVE CAPITAL MANAGEMENT
L.L.P.",PEUGEOT S.A.,FR0000121501,0.32,2020-09-15
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.20,2023-01-24
MANIYAR TRADING I L.P.,EUROPCAR MOBILITY GROUP,FR0012789949,0.00,2021-02-26
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.29,2023-11-03
ADAGE CAPITAL MANAGEMENT,FAURECIA,FR0000121147,0.48,2020-03-04
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.90,2023-06-01
PALESTRA CAPITAL MANAGEMENT LLC,ATOS SE,FR0000051732,0.21,2021-04-01
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.35,2022-08-23
MILLENNIUM CAPITAL PARTNERS LLP,CLARIANE SE,FR0010386334,1.17,2023-11-28
ETON PARK INTERNATIONAL LLP,INGENICO,FR0000125346,0.42,2017-01-27
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.04,2019-02-14
MARSHALL WACE LLP,RENAULT,FR0000131906,1.49,2022-07-15
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.53,2020-02-26
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.58,2022-02-08
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.51,2022-10-17
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,2.00,2023-03-15
IMMERSION CAPITAL MASTER FUND LTD,SPIE SA,FR0012757854,1.48,2020-11-05
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.79,2022-11-07
WORLDQUANT LLC,MERCIALYS,FR0010241638,0.47,2021-02-26
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,0.63,2023-07-07
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.63,2020-09-17
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.89,2023-06-06
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.14,2022-11-10
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.83,2022-08-04
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUROAPI,FR0014008VX5,0.97,2022-12-14
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.77,2022-09-01
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.03,2022-08-02
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUROFINS SCIENTIFIC SE,FR0014000MR3,0.73,2023-11-15
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.81,2022-09-16
MARSHALL WACE LLP,RENAULT,FR0000131906,0.89,2023-07-31
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.90,2022-12-30
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.82,2023-11-10
MELQART ASSET MANAGEMENT (UK) LTD,ATOS SE,FR0000051732,0.64,2023-10-10
MELQART ASSET MANAGEMENT (UK) LTD,ATOS SE,FR0000051732,1.29,2023-10-25
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.55,2023-06-09
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.81,2022-11-07
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.78,2023-10-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.78,2023-09-26
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.61,2023-11-23
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,0.76,2023-08-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.06,2023-10-26
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.77,2023-11-15
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.81,2022-12-12
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",EUTELSAT COMMUNICATIONS,FR0010221234,0.98,2020-05-28
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.60,2022-08-12
MARSHALL WACE LLP,CGG,FR0013181864,0.91,2023-09-25
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.60,2023-02-24
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.11,2023-02-07
B&G MASTER FUND PLC,ORPEA,FR0000184798,0.77,2022-10-06
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.93,2018-09-17
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.61,2023-06-15
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.31,2022-03-04
MARSHALL WACE LLP,CGG,FR0013181864,1.00,2023-10-06
ARROWSTREET CAPITAL,MC PHY ENERGY,FR0011742329,0.61,2021-03-25
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.02,2023-01-09
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.70,2023-05-11
CITADEL EUROPE LLP,COMPAGNIE DE SAINT-GOBAIN,FR0000125007,0.49,2020-07-27
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,0.97,2023-09-28
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.35,2023-09-14
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.25,2023-11-24
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.72,2023-01-17
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.13,2022-09-06
MARSHALL WACE LLP,RENAULT,FR0000131906,1.25,2022-04-20
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",VALEO,FR0013176526,1.00,2023-11-03
MARSHALL WACE LLP,RENAULT,FR0000131906,1.50,2022-11-14
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.63,2021-12-29
AKO CAPITAL LLP,SPIE SA,FR0012757854,0.86,2023-09-04
MARSHALL WACE LLP,FORVIA,FR0000121147,0.50,2023-11-28
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.48,2023-09-01
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUROAPI,FR0014008VX5,1.10,2023-04-04
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.09,2022-11-11
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.97,2020-07-29
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.22,2023-03-30
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.70,2021-11-30
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.84,2023-09-18
MARSHALL WACE LLP,EUROPCAR MOBILITY GROUP,FR0012789949,0.48,2020-08-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.63,2023-11-09
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.31,2023-09-28
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.82,2023-03-27
UBS O'CONNOR LLC,WORLDLINE,FR0011981968,0.07,2020-10-26
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.09,2023-01-04
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,0.69,2023-07-25
MARSHALL WACE LLP,CGG,FR0013181864,1.34,2023-10-20
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.63,2022-11-24
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.78,2019-05-24
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.32,2020-11-02
CITADEL ADVISORS LLC,TECHNICOLOR,FR0010918292,0.82,2020-02-19
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,2.11,2023-10-13
ACTUSRAYPARTNERS LIMITED,LA FRANCAISE DE L'ENERGIE,FR0013030152,0.46,2022-12-09
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.81,2023-09-26
MELQART ASSET MANAGEMENT (UK) LTD,ATOS SE,FR0000051732,0.72,2023-10-11
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,0.99,2023-09-01
MARSHALL WACE LLP,RENAULT,FR0000131906,1.29,2023-04-24
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.73,2022-04-04
"AQR CAPITAL MANAGEMENT, LLC",IMERYS,FR0000120859,0.79,2020-08-12
